,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Stan Albeck,1971,1971,1,71,27,44,.380,-8.5,,,,,,,
1,2,Bob Bass,1968,1969,2,156,89,67,.571,11.0,2,12,5,7,.417,0,0
2,3,Joe Belmont,1970,1971,2,69,45,24,.652,10.5,1,12,5,7,.417,0,0
3,4,Bernie Bickerstaff,1995,1997,3,127,59,68,.465,-4.5,1,3,0,3,.000,0,0
4,5,Larry Brown,1975,1979,5,385,251,134,.652,58.5,4,45,21,24,.467,0,0
5,6,Jeff Bzdelik,2003,2005,3,192,73,119,.380,-23.0,1,5,1,4,.200,0,0
6,7,Michael Cooper,2005,2005,1,14,4,10,.286,-3.0,,,,,,,
7,8,Mike D'Antoni,1999,1999,1,50,14,36,.280,-11.0,,,,,,,
8,9,Mike Evans,2002,2002,1,56,18,38,.321,-10.0,,,,,,,
9,10,Alex Hannum,1972,1974,3,252,118,134,.468,-8.0,2,12,4,8,.333,0,0
10,11,Bill Hanzlik,1998,1998,1,82,11,71,.134,-30.0,,,,,,,
11,12,Melvin Hunt,2015,2015,1,23,10,13,.435,-1.5,,,,,,,
12,13,Dan Issel,1993,2002,6,388,180,208,.464,-14.0,1,12,6,6,.500,0,0
13,14,George Karl,2005,2013,9,680,423,257,.622,83.0,9,59,21,38,.356,0,0
14,15,Gene Littles,1995,1995,1,16,3,13,.188,-5.0,,,,,,,
15,16,Michael Malone,2016,2022,7,555,314,241,.566,36.5,4,48,21,27,.438,0,0
16,17,John McLendon,1970,1970,1,28,9,19,.321,-5.0,,,,,,,
17,18,Doug Moe,1981,1990,10,789,432,357,.548,37.5,9,61,24,37,.393,0,0
18,19,Dick Motta,1997,1997,1,69,17,52,.246,-17.5,,,,,,,
19,20,Brian Shaw,2014,2015,2,141,56,85,.397,-14.5,,,,,,,
20,,,,,,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
21,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
22,21,Donnie Walsh,1979,1981,3,142,60,82,.423,-11.0,1,3,1,2,.333,0,0
23,22,Paul Westhead,1991,1992,2,164,44,120,.268,-38.0,,,,,,,
